timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422275624,99,398,3655262,125265383,25,5344118,145597,12081386,737036,29023046,640501,957318,2122124,524468,732655,409049,674605,459724,12977630,32,9052,118,1743,109461154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12029,1833.51,1859.505,46.84,0,12,0,3,206688,284180,31951760,0,0,6,1951740,0,0,1066.08,147369.55,0,0,0,0,16.15,145.86,99.81,0,0,0,0.12,0.06,0,1255
1422275626,93,385,14066655,157257082,26,7245216,168915,10381651,448495,14636052,452572,705131,1111580,646360,2392199,662398,2041264,469996,24893711,78,85648,234,408,226078573,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8020,1833.51,1859.505,46.84,0,16,0,2,206688,284180,31951908,0,0,4,1951740,0,0,872.25,147274.59,0,0,0,0,13.22,144.4,99.85,0,0,0,0.1,0.04,0,1283
1422275628,96,401,5619081,110278523,26,4019337,150307,11598558,932183,30343411,1439503,1534612,3910752,1390295,622734,62276,723242,707415,28920735,82,99498,301,2953,213336671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,56165,1833.51,1859.505,46.84,0,12,0,5,206688,284176,31952780,0,0,27,1951740,0,0,1247.8,147628.78,0,0,0,0,18.61,149.36,99.77,0,0,0,0.1,0.06,0.06,1282
1422275630,102,423,14109842,130716122,25,6191281,255980,18607821,1374693,34865674,1112534,701203,1277205,457772,477701,277348,673186,578948,13337729,44,6199,190,3887,194627668,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8024,1833.51,1859.505,46.84,0,18,0,2,206688,284180,31953320,0,0,4,1951740,0,0,1460.82,147492.66,0,0,0,0,14.69,145.45,99.77,0,0,0,0.15,0.06,0.02,1378
1422275632,103,458,13392691,131549159,27,3872266,133704,8341024,422218,11703443,552026,888591,3310975,1236076,943548,345282,1327568,440262,39987113,298,111093,3074,636,144293588,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,8024,1833.51,1859.505,46.84,0,14,0,2,206688,284184,31953216,0,0,4,1951740,0,0,1792.85,147240.45,0,0,0,0,19.59,148.87,99.88,0,0,0,0.1,0.02,0,1413
1422275634,94,568,2930902,107004796,25,3654842,110200,9067357,709001,53783185,1897741,1621481,4037391,634818,775058,322250,764736,717633,13769595,29,35736,145,2087,160821715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48343,1833.51,1859.505,46.84,0,16,0,5,206688,284180,31954272,0,0,24,1951740,0,0,1203.86,160817.59,0,0,0,0,18.24,160.94,99.75,0,0,0,0.1,0.08,0.06,1540
1422275636,94,484,10158726,119719635,22,4264446,144009,10671770,922233,40954168,852540,966270,1636291,654993,1059224,530463,1900959,295675,47988052,156,20819,737,2117,140456463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8071,1833.51,1859.505,46.84,0,18,0,2,206688,284176,31954312,0,0,4,1951740,0,0,1040.39,148317.23,0,0,0,0,15.76,146.8,99.81,0,0,0,0.15,0.02,0.02,1366
1422275638,96,448,7199639,139337464,28,4153712,170736,14338143,1242561,45943465,1388648,1567448,1928521,378585,553821,326496,1572613,576287,40770326,22,37962,120,135,202894373,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7783,1833.51,1859.505,46.84,0,16,0,2,206688,284180,31954088,0,0,4,1951740,0,0,1398.57,144084.55,0,0,0,0,20.9,147.74,99.81,0,0,0,0.15,0.04,0,1385
1422275640,97,521,5647835,111829975,22,3518370,173819,13361549,1487652,45625522,2283263,2136527,3828472,795011,1017172,326496,1572613,576287,40770326,22,37962,120,135,202894373,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,40474,1833.51,1859.505,46.84,0,11,0,4,206688,284188,31954348,0,0,20,1951740,0,0,2198.62,149356.72,0,0,0,0,18.28,150.2,99.77,0,0,0,0.1,0.08,0.04,1382
1422275642,94,480,4030364,113117000,27,4316573,149741,12540297,1014286,51327660,1244142,1377524,1710730,578893,944342,237033,1023730,343858,38759443,12,21887,53,558,151738608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8363,1833.51,1859.505,46.84,0,14,0,2,206688,284184,31953848,0,0,4,1951740,0,0,1105.16,105490.05,0,0,0,0,15.31,124.04,99.81,0,0,0.02,0.12,0.04,0,1479
