timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422369854,94.5,379.5,61896505,219268632.75,169.25,10202651,478783,30873481.25,5124475,182585690.75,6356175,9931958.25,23580658.25,3321639,4171246.25,204327.75,893213.25,532177.75,39833713,53,208737.25,2665,529,219578661.75,0.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.5,0,0,5,0,2,0,29292,1818.805,1859.505,49.22,0,18,0,4,250272,1502630,30522462,0,0,14.5,1951740,0,0,824.58,8837.675,0,0,0,0,5.985,57.95,99.79,0,0,0,0.11,0.05,0.04,1220.5
1422369856,96.5,1893,62959867,220449368.25,169.25,9875503,482243,31884800.75,4840627,171713994,6298391,10063861.75,23323731,3631312,4074004.25,7840611,2646346,1088584,114031593.25,1190,7133959.25,4075,1407,297343266.75,1.5,0,0,0.5,0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,4,1,2,0,29237,1818.805,1859.505,49.22,0,11,0,4,250272,1502636,30520120,0,0,14.5,1951740,0,0,5881.815,12691.15,0,0,0,0,22.425,77.145,99.345,0,0,0.01,0.165,0.445,0.03,1907.5
1422369858,101.5,1893,6689720.75,113750056,26.25,2271082,73515,7653034.25,403928,18511799.25,799029,952948,1559293,866666.75,734704.75,7754451.25,2536873.25,1473780.75,88013681.75,1197,7206221,4187.75,4387.75,421544086.25,1,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0,5,1,2,0,8145.5,1818.805,1859.505,49.22,0,12,0,2,250272,1502638,30517846,0,0,4,1951740,0,0,5580.6,12337.26,0,0,0,0,20.625,75.675,99.365,0,0,0.01,0.175,0.445,0,1903
1422369860,103.5,379.5,9058597.25,117962119,26.25,3472227,121326.25,8516726,554621,27012750.25,826755,870230,1666232.25,504220,912707.75,247253,890947.75,1518133.75,16848784.75,72,156987.75,5818,5669,483714891.75,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,2,2,2,0,36531,1818.805,1859.505,49.22,0,15.6,0,3.5,250272,1502638,30517724,0,0,18,1951740,0,0,84.445,8206.195,0,0,0,0,1.28,54.015,99.79,0,0,0,0.135,0.04,0.03,991.5
1422369862,102.5,374,13897149.75,109710645.75,25,3713291.25,118252.75,7867423.75,623632,27532485,778391.75,861776.25,1588752,820382.75,963102.75,444377,1106670.25,1501191.25,17790067.25,60.25,42765,8966.75,8220.25,494498994,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,0.5,1,0,5,1,2,0,37331.5,1818.805,1859.505,49.22,0,14.935,0,4,250272,1502634,30517976,0,0,18.5,1951740,0,0,398.33,8239.52,0,0,0,0,2.21,53.885,99.79,0,0,0,0.125,0.04,0.04,974
1422369864,99,386,13685339.25,103378603,24.75,3392020,114889,7312413,650828.75,26629398.75,773836,916962,1557341,870303,1244345,401709,1454150,1164345.25,17693579.25,49,130333.75,3796.25,8411.25,330745712.25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,0,2,0,16668.5,1818.805,1859.505,49.22,0,15.835,0,3.5,250272,1502634,30518478,0,0,8,1951740,0,0,507.065,8738.265,0,0,0,0,3.86,58.07,99.81,0,0,0,0.125,0.04,0.02,1029
1422369866,96.5,391.5,9765518.25,106931232,24.25,3452892,112959,8977852,784806.75,27336857.25,722217,793456,1518405.75,766588.25,1395875.25,299885.75,1928910.25,968292,39400434.25,40,168782.25,619,2417,228509930,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.5,0,0,0,0.5,0,6,0,2,0,32025,1818.805,1859.505,49.22,0,18.1,0,4.5,250272,1502634,30518174,0,0,15.5,1951740,0,0,614.545,9092.7,0,0,0,0,5.38,60.17,99.75,0,0,0,0.15,0.05,0.05,1032
1422369868,98,371,12669449.25,111606357,24.25,3274132,77121.25,8173237,682700.75,19895439,688483.75,709612,1543263.25,820473.25,1483423.25,453753,1730231.25,634550,61451540,35,124699,1869,7120.75,199145292.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,4,0,2,0,24466,1818.805,1859.505,49.22,0,15.6,0,3.5,250272,1502636,30517996,0,0,12,1951740,0,0,653.805,8781.485,0,0,0,0,5.975,58.485,99.77,0,0,0,0.15,0.04,0.04,984
1422369870,101.5,351,12648748.75,108080304,24,3232870,100173.25,8991484.75,825667,27499548,1385827,783933.75,1399133,860315.25,1762511.75,643968,1252111.75,462282.75,46965567,29.75,115984.75,1753,13371.75,170795055.25,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0.5,0,3,1,2,0,8155,1818.805,1859.505,49.22,0,15,0,2,250272,1502640,30518318,0,0,4,1951740,0,0,213.54,8235.44,0,0,0,0,3.235,55.5,99.84,0,0,0,0.125,0.03,0,968
1422369872,103,351,10515250.75,102209874,24,2719154.25,89027,8173776,725223,23067779,1254843.25,749672.75,1096166.75,854937.25,2236455.75,525780,1931868,447230,44357713,21.25,120573.25,294,6960,151112158,0.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0.5,0,4,1,2,0,23545,1818.805,1859.505,49.22,0,13,0,3.5,250272,1502640,30518884,0,0,11.5,1951740,0,0,418.815,8204.975,0,0,0,0,2.645,54.21,99.81,0,0,0,0.11,0.05,0.02,952
1422369874,100.5,349,12033828.75,113976493.75,25.25,3507950.75,108340,8883946.25,616258.25,16970023,732575.25,655798.25,881895,648069,2204489.75,602693.25,2329502,423345.75,73375655,20,180061,297.75,2215.75,150822651.25,0,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,1,0,4,1,2,0,27639,1818.805,1859.505,49.22,0,12.5,0,4.5,250272,1502638,30519974,0,0,13.5,1951740,0,0,451.83,8245.995,0,0,0,0,3.145,54.76,99.8,0,0,0,0.12,0.05,0.02,956
1422369876,96.5,369.5,8795244.75,116797433.25,25.25,4080319,127960,10483018.25,790205.25,21075002.75,712693.25,554207.75,716106,440771.25,1282721,532358.25,1907300,667706.75,74576060.25,53,517883.25,370,3566,206055686.25,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0,3,2,2,0,32686,1818.805,1859.505,49.22,0,15.5,0,4,250272,1502638,30520936,0,0,16,1951740,0,0,638.655,8800.995,0,0,0,0,5.735,58.6,99.81,0,0,0,0.12,0.04,0.02,1021.5
1422369878,95,366.5,6583349.25,111988461.25,25,3135118.75,93874.75,9428520.75,1284042.25,31764089.25,1027029,875154.75,879395.75,477812.25,993862.25,545599,2236619,541220.25,52093298.25,58,445972,320.25,2173.25,169904488.25,0,0,0,1,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0,2,2,2,0,28600.5,1818.805,1859.505,49.22,0,17,0,3,250272,1502638,30520858,0,0,14,1951740,0,0,605.735,8766.085,0,0,0,0,5.24,58.105,99.8,0,0,0,0.135,0.03,0.03,1090
1422369880,100.5,375,7811780,114823476.25,25.375,2584512.25,120371.875,8242929.25,1440970,46996021.625,1126678.25,1032524.125,1380382.625,567805.875,1081257.25,492354.25,1330707.75,863586.375,20386868.625,57.25,202185.875,668.125,4026.875,331282722.75,1.5,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,1.75,0,0,0,1.5,0,3,2,2,0,35751,1818.805,1859.505,49.22,0,26.27,0,8.75,250272,1502642,30520870,0,0,17.5,1951740,0,0,71.8175,8100.0025,0,0,0,0,1.125,53.495,99.825,0,0,0,0.1275,0.035,0.005,1211.75
